,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
1358,Small- and Mid-Sized Office,47.61556,-122.32048,1920_1940,1.0,2,97.0,27938,0,13917.0,0,1,1,7.31,1027394.313
1359,Other,47.66386,-122.31715,1920_1940,1.0,2,,21600,0,32580.0,0,1,0,11.32,1623657.0
1360,K-12 School,47.62291,-122.28879,1980_2000,1.0,2,69.0,30562,0,30562.0,0,1,1,55.73,1622231.375
1361,Retail Store,47.59951,-122.32033,1980_2000,1.0,3,67.0,54969,0,54969.0,0,1,1,39.31,3724098.25
1362,K-12 School,47.61395,-122.31253,1940_1960,1.0,2,,36825,0,44340.0,0,1,1,51.14,1755072.75
1363,Small- and Mid-Sized Office,47.61546,-122.31195,1940_1960,1.0,3,73.0,25834,0,31822.0,0,1,1,54.02,2076289.625
1364,Worship Facility,47.63193,-122.32126,1920_1940,1.0,1,38.0,37700,0,52225.0,0,1,1,150.23,3481727.5
1365,Mixed Use Property,47.61608,-122.30967,2000_,1.0,6,100.0,97229,0,45300.0,0,1,0,7.12,1021754.688
1366,Small- and Mid-Sized Office,47.69898,-122.34162,1980_2000,1.0,3,77.0,25111,0,14256.0,0,1,1,24.97,954352.6875
1367,Worship Facility,47.64725,-122.39977,1940_1960,1.0,2,10.0,31805,0,31805.0,0,1,1,68.39,1641667.0
1368,K-12 School,47.64725,-122.39977,1940_1960,1.0,1,95.0,20811,0,20811.0,0,1,1,43.97,1267348.5
1369,Refrigerated Warehouse,47.56268,-122.32364,1960_1980,1.0,1,,22890,0,43452.0,0,1,1,119.76,10005787.0
1370,Other,47.56166,-122.3237,_1920,1.0,5,,36000,0,36000.0,0,1,1,43.04,1111293.75
1371,Distribution Center,47.5616,-122.32603,1960_1980,1.0,1,1.0,28320,0,28320.0,0,1,1,67.96,4236396.5
1372,Worship Facility,47.67816,-122.28998,1940_1960,1.0,1,78.0,29079,0,29079.0,0,1,1,22.18,861643.6875
1373,Small- and Mid-Sized Office,47.63441,-122.28061,1980_2000,1.0,3,82.0,19232,9616,19232.0,0,1,0,5.07,726917.5
1374,Small- and Mid-Sized Office,47.65564,-122.36191,1980_2000,1.0,2,7.0,20535,0,13600.0,0,1,1,38.71,1835804.0
1375,Laboratory,47.65223,-122.36147,1980_2000,1.0,2,,43025,0,29527.0,0,1,1,255.97,9393108.0
1376,Warehouse,47.54769,-122.3251,1960_1980,1.0,1,65.0,30800,0,30800.0,0,1,0,3.39,485971.0
1377,Mixed Use Property,47.59901628,-122.3315077,_1920,1.0,3,,22168,0,11084.0,0,1,1,49.44,1784385.25
1378,Warehouse,47.59416,-122.3267,1920_1940,1.0,1,73.0,37400,0,27271.0,0,1,1,7.8,924192.6875
1379,Large Office,47.59666,-122.32768,1980_2000,1.0,11,88.0,268130,0,268130.0,0,1,1,106.86,15026352.0
1380,Small- and Mid-Sized Office,47.59706,-122.32813,1980_2000,1.0,11,79.0,68452,0,61665.0,0,1,0,26.37,3782378.25
1381,Large Office,47.59634,-122.32807,1980_2000,1.0,11,88.0,273185,0,281566.0,0,1,0,102.54,14709151.0
1382,K-12 School,47.66368,-122.27324,1920_1940,1.0,3,97.0,97500,0,97500.0,0,1,1,156.45,3736960.0
1383,Small- and Mid-Sized Office,47.62495,-122.36036,1980_2000,1.0,5,75.0,54015,0,54015.0,0,1,0,21.05,3020001.5
1384,Restaurant,47.60805,-122.33978,1980_2000,1.0,13,,42000,0,26554.0,1,1,1,273.91,7798464.0
1385,Large Office,47.61706,-122.35141,1980_2000,0.0,24,67.0,119701,0,102878.0,0,1,0,58.44,8382140.5
1386,University,47.59677,-122.30172,2000_,2.0,1,,57468,0,67750.0,0,1,1,89.8,3543985.5
1387,University,47.61808,-122.32175,2000_,1.0,5,,84000,0,84300.0,0,1,1,441.94,12184124.0
1388,Retail Store,47.6087,-122.33884,1980_2000,1.0,3,89.0,103000,0,103000.0,0,1,1,81.18,5214621.5
1389,Supermarket / Grocery Store,47.56137,-122.38524,2000_,1.0,1,61.0,37864,0,37864.0,0,1,1,176.75,8025696.0
1390,Supermarket / Grocery Store,47.62256,-122.32092,1940_1960,1.0,2,84.0,66497,0,66497.0,0,1,1,72.02,9290214.0
1391,Retail Store,47.62473,-122.34727,2000_,1.0,4,,34010,0,38428.0,0,1,0,24.82,3560614.25
1392,Supermarket / Grocery Store,47.62473,-122.34727,2000_,1.0,4,79.0,45980,0,45980.0,0,1,1,193.36,8305255.0
1393,Retail Store,47.61378771,-122.3214255,1980_2000,0.0,3,88.0,45743,0,45243.0,0,1,1,83.45,5313217.0
1394,Other,47.61674,-122.30207,1980_2000,1.0,1,,45000,0,45000.0,0,1,1,137.66,3505497.0
1395,Other,47.59544,-122.33159,1980_2000,1.0,6,,333698,0,432903.0,0,1,1,295.42,13730204.0
1396,Warehouse,47.55066,-122.31787,_1920,1.0,4,55.0,72859,0,72859.0,0,1,1,12.43,1498457.875
1397,Mixed Use Property,47.5823,-122.32937,2000_,1.0,3,,21947,0,14877.0,0,1,1,37.83,1554599.25
1398,Warehouse,47.68454,-122.26235,1920_1940,1.0,0,69.0,384772,0,349953.0,0,1,1,391.7,15206762.0
1399,Medical Office,47.6824,-122.26223,1940_1960,1.0,0,32.0,30287,0,28050.0,0,1,1,32.72,2193115.0
1400,Small- and Mid-Sized Office,47.68254,-122.26299,1940_1960,1.0,0,32.0,21931,0,31845.0,0,1,1,145.11,3947209.25
1401,Small- and Mid-Sized Office,47.60148,-122.33379,1980_2000,1.0,6,84.0,73102,0,92723.0,0,1,0,30.03,4307238.5
1402,Mixed Use Property,47.62256,-122.32092,_1920,1.0,2,,81422,59401,89820.0,0,1,1,28.85,2762846.0
1403,Supermarket / Grocery Store,47.71864,-122.312,2000_,1.0,1,74.0,51400,0,51841.0,0,1,1,303.69,11702959.0
1404,Small- and Mid-Sized Office,47.64779,-122.33352,1980_2000,1.0,1,64.0,26263,0,26263.0,0,1,0,11.4,1634669.375
1405,Laboratory,47.60427,-122.32311,1980_2000,1.0,8,,178000,0,181930.0,1,1,0,2549.47,53166156.0
1406,Large Office,47.5735,-122.32239,2000_,1.0,4,,162157,0,88698.0,0,1,1,537.03,40613740.0
1407,Supermarket / Grocery Store,47.6239,-122.35756,2000_,1.0,4,23.0,33997,0,33997.0,0,1,1,94.63,8926736.0
1408,Large Office,47.62037,-122.33627,2000_,1.0,11,97.0,526423,0,400536.0,0,1,1,163.19,17463744.0
1409,Mixed Use Property,47.60121,-122.33518,_1920,1.0,6,97.0,74211,0,33279.0,0,1,0,9.46,1357119.875
1410,Warehouse,47.51098,-122.27817,1980_2000,1.0,2,99.0,45700,0,293707.0,0,1,1,15.5,1544193.75
1411,Other,47.71286,-122.33635,2000_,1.0,2,,53575,0,53575.0,0,1,1,619.9,31803568.0
1412,Large Office,47.58995,-122.33472,2000_,1.0,6,63.0,157345,0,157345.0,0,1,1,92.07,11624548.0
1415,Other,47.60989,-122.32659,2000_,1.0,7,,267470,0,160482.0,1,1,0,1597.56,42584028.0
1416,Hospital,47.66201,-122.28386,2000_,1.0,8,58.0,330000,0,241500.0,0,1,1,1789.69,57764408.0
1417,Retail Store,47.62503,-122.35642,_1920,1.0,3,67.0,43832,0,24588.0,0,1,1,144.41,3886545.0
1418,Other,47.5596,-122.38459,1980_2000,1.0,6,,146363,0,146363.0,0,1,1,325.94,11730555.0
1419,Supermarket / Grocery Store,47.57984,-122.38577,2000_,1.0,1,78.0,67263,0,67263.0,0,1,1,352.77,14697487.0
1420,Large Office,47.61156,-122.34401,1980_2000,1.0,13,88.0,204760,149326,193393.0,0,1,1,147.84,13458948.0
1421,Worship Facility,47.6709,-122.27054,2000_,1.0,2,37.0,70292,0,70292.0,0,1,1,57.59,1933811.625
1422,Other,47.61449,-122.33956,1960_1980,1.0,7,100.0,55559,35120,60000.0,0,1,0,290.57,41680640.0
1423,Laboratory,47.62351,-122.34135,2000_,0.0,8,,225581,114010,172793.0,0,1,1,1088.25,41696464.0
1424,Small- and Mid-Sized Office,47.61432,-122.31257,2000_,1.0,6,100.0,52000,0,48159.0,0,0,0,-0.8,342726.0938
1425,K-12 School,47.61386,-122.32647,2000_,1.0,2,22.0,35780,0,38000.0,0,1,1,51.59,2912264.0
1426,Large Office,47.63449,-122.37661,2000_,1.0,3,100.0,76844,28217,83533.0,0,1,0,9.5,1363191.625
1427,Small- and Mid-Sized Office,47.59666,-122.31253,2000_,1.0,3,67.0,47673,14989,47000.0,0,1,1,20.1,2502131.0
1428,Hotel,47.66629,-122.3826,2000_,1.0,4,62.0,39433,22948,60245.0,0,1,0,24.38,3497215.5
1429,Senior Care Community,47.61885,-122.30341,2000_,1.0,6,25.0,79805,0,79805.0,0,1,1,184.81,7531325.0
1430,K-12 School,47.73143,-122.32784,2000_,1.0,2,82.0,48925,0,63500.0,0,1,1,22.76,1662054.125
1431,Other,47.66246,-122.29898,2000_,1.0,6,,65773,239252,318986.0,0,1,1,809.76,25959642.0
1432,Large Office,47.58872,-122.33475,2000_,1.0,7,,187027,146687,191333.0,0,1,1,42.2,4581493.0
1433,Other,47.5843,-122.32229,2000_,1.0,2,,56988,0,24520.0,0,1,1,16.13,544172.375
1434,University,47.54193,-122.32404,2000_,4.0,2,,149856,0,149856.0,0,1,1,107.29,6335315.5
1435,Other,47.51377011,-122.3432804,2000_,1.0,2,,44162,0,44162.0,0,1,1,38.13,1546484.875
1436,Small- and Mid-Sized Office,47.61438,-122.32174,_1920,0.0,2,,64820,0,37668.0,0,1,1,29.4,2274296.75
1437,University,47.61699,-122.32083,1980_2000,1.0,2,,99765,0,99765.0,0,1,1,74.3,3185005.25
1438,University,47.61748356,-122.321853,1920_1940,1.0,3,,428347,0,472384.0,1,1,1,1280.81,37022180.0
1439,Hospital,47.60986,-122.32774,_1920,1.0,8,74.0,374466,0,1010135.0,1,1,0,6330.91,163945984.0
1440,Senior Care Community,47.60898,-122.34213,1980_2000,1.0,3,,41395,156000,38800.0,0,1,1,58.28,2737534.5
1441,Supermarket / Grocery Store,47.67034,-122.3873,2000_,1.0,8,44.0,41198,0,41198.0,0,1,1,82.58,7768057.5
1442,Other,47.5626,-122.29396,2000_,1.0,0,,40265,0,40265.0,0,1,1,51.39,2159170.25
1444,University,47.65395,-122.30584,1960_1980,1.0,4,,58779,0,58779.0,0,1,0,25.93,5000717.0
1446,University,47.65356,-122.30613,1980_2000,1.0,6,,203030,0,203030.0,0,1,0,199.48,51168308.0
1450,Large Office,47.62384,-122.33941,2000_,1.0,6,99.0,427181,0,427181.0,0,1,1,213.7,16371039.0
1451,Self-Storage Facility,47.57054,-122.29139,2000_,1.0,4,,87576,14004,87576.0,0,1,1,9.91,940844.6875
1452,Other,47.66414,-122.31664,2000_,1.0,3,,33648,0,83600.0,0,1,0,9.76,1399581.625
1453,Small- and Mid-Sized Office,47.61371,-122.31774,2000_,1.0,5,,37873,0,25927.0,0,1,1,65.01,2346692.5
1454,Large Office,47.62906,-122.34259,2000_,1.0,10,,513816,0,359040.0,0,1,1,214.19,18760766.0
1455,Hotel,47.61665,-122.33261,2000_,1.0,14,89.0,144614,0,159500.0,0,1,1,50.32,5525072.5
1456,Large Office,47.62146,-122.33976,2000_,1.0,12,99.0,317442,163260,341897.0,0,1,1,147.14,12720069.0
1457,Mixed Use Property,47.66144,-122.38723,2000_,1.0,2,,25532,0,11745.0,0,1,0,4.38,627854.125
1458,Other,47.58542,-122.32185,2000_,1.0,2,,108036,0,202171.0,0,1,1,91.98,4991893.5
1459,Large Office,47.62263,-122.33976,2000_,1.0,12,98.0,317189,166208,342173.0,0,1,1,202.12,13998638.0
1460,Hotel,47.65476,-122.34732,2000_,1.0,4,72.0,85284,41539,88157.0,0,1,1,131.02,6042399.5
1461,Warehouse,47.54425,-122.31776,1940_1960,1.0,1,37.0,47863,4222,52085.0,0,1,1,157.7,3605855.5
1462,Small- and Mid-Sized Office,47.53161,-122.29944,1920_1940,1.0,2,9.0,24990,0,24990.0,0,1,1,134.8,4420650.5
1463,Other,47.68109,-122.2618,2000_,1.0,1,,72000,0,72000.0,0,1,1,67.65,2925780.0
1464,K-12 School,47.58831,-122.3065,2000_,1.0,3,77.0,45000,0,45728.0,0,1,0,9.24,1325972.75
1465,Mixed Use Property,47.62497,-122.33883,2000_,1.0,6,,260262,85028,151523.0,0,1,1,1000.06,39364116.0
