,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
209,Hotel,47.60996,-122.33572,1960_1980,0.0,19,6.0,272787,59280,332067.0,1,1,1,1468.5,37785552.0
210,Large Office,47.60991,-122.33687,_1920,1.0,10,49.0,130513,0,87391.0,1,1,1,318.08,11651200.0
211,Small- and Mid-Sized Office,47.60953,-122.33647,_1920,1.0,8,,60660,0,41958.0,0,1,0,18.03,2586116.0
212,Large Office,47.60902,-122.33674,1920_1940,1.0,14,89.0,137350,0,124508.0,1,1,0,202.99,6366084.5
213,Large Office,47.60923,-122.33625,1920_1940,1.0,15,84.0,151039,0,125473.0,1,1,0,238.09,5446624.0
214,Large Office,47.61022,-122.33745,1980_2000,1.0,30,72.0,620338,134662,643083.0,1,1,1,793.05,52226204.0
215,Small- and Mid-Sized Office,47.60995,-122.33904,_1920,1.0,4,72.0,63540,0,56747.0,0,1,1,74.83,3518459.5
216,Large Office,47.60987,-122.33824,1920_1940,1.0,10,80.0,130893,0,87925.0,0,1,0,48.54,6962073.0
217,Mixed Use Property,47.60821,-122.33899,_1920,1.0,5,,79920,0,39960.0,0,1,0,20.98,3009463.75
218,Mixed Use Property,47.60881,-122.34119,_1920,1.0,4,,137400,0,44078.0,0,1,1,316.2,14940504.0
219,Other,47.61164,-122.33446,1980_2000,1.0,6,,61423,86429,64821.0,0,1,1,185.03,9671619.0
220,Other,47.61185,-122.33421,1980_2000,0.0,4,,100375,166960,166960.0,0,1,1,147.75,7273155.5
221,Large Office,47.61043,-122.33206,1980_2000,1.0,56,97.0,1215718,389860,1314475.0,1,1,1,525.78,49517704.0
222,Large Office,47.60967,-122.33229,1960_1980,1.0,36,96.0,794592,0,748011.0,0,1,1,216.43,26689658.0
